x,y
-10.0,-16.49086400357679
-9.797979797979798,-22.32222468645401
-9.595959595959595,-20.361784470060947
-9.393939393939394,-21.23873205399664
-9.191919191919192,-16.164967919423457
-8.98989898989899,-18.55766386787691
-8.787878787878787,-18.768394800564757
-8.585858585858587,-18.40006527906524
-8.383838383838384,-16.2867302867692
-8.181818181818182,-14.457635332543122
-7.979797979797979,-14.99323966573903
-7.777777777777778,-14.943252585740135
-7.575757575757576,-15.36531989976423
-7.373737373737374,-10.2578818192851
-7.171717171717171,-17.107514814647832
-6.96969696969697,-14.982424153614442
-6.767676767676768,-16.93649999630511
-6.565656565656566,-14.175097896263392
-6.363636363636363,-13.092043076830983
-6.161616161616162,-10.841465434835191
-5.959595959595959,-14.426338212446657
-5.757575757575758,-12.49223812763671
-5.555555555555555,-14.22283776033164
-5.353535353535354,-12.166967408253583
-5.151515151515151,-10.1096491320831
-4.94949494949495,-10.270938993085455
-4.747474747474747,-11.226468098584865
-4.545454545454546,-11.197209534417048
-4.343434343434343,-11.632711942659713
-4.141414141414142,-7.863394765572645
-3.9393939393939394,-5.580887613095328
-3.737373737373738,-7.70707914055405
-3.5353535353535355,-6.644671386379141
-3.333333333333333,-7.602409748005941
-3.1313131313131315,-4.6920744356986495
-2.929292929292929,-7.858424525309159
-2.7272727272727275,-7.57627165869425
-2.525252525252525,-8.055845867229383
-2.3232323232323235,-6.80207200742402
-2.121212121212121,-5.033206495626913
-1.9191919191919187,-2.7575296105879468
-1.717171717171718,-4.3779376985763205
-1.5151515151515156,-4.450859383127152
-1.3131313131313131,-4.060588306642838
-1.1111111111111107,-1.4932748603021524
-0.9090909090909101,-3.134467608056912
-0.7070707070707076,-1.9156693904604674
-0.5050505050505052,-1.648487574658554
-0.30303030303030276,2.09174145463089
-0.10101010101010033,-1.8381143530907371
0.10101010101010033,0.14676839030741662
0.30303030303030276,0.04927061302904634
0.5050505050505052,-3.0406859515288445
0.7070707070707076,0.29049425125008876
0.9090909090909083,-0.7025407364944021
1.1111111111111107,0.4919615339337914
1.3131313131313131,1.6587873019929311
